warehouse,week,load,capacity,load_percentage,demand,unsatisfied_demand
Склад3||Склад3_о,W16,3607.0,12000.0,30.06,3607.0,0.0
Склад3||Склад3_о,W17,5108.0,12000.0,42.57,5108.0,0.0
Склад3||Склад3_о,W18,4110.0,12000.0,34.25,4110.0,0.0
Склад3||Склад3_о,W19,3352.0,12000.0,27.93,3352.0,0.0
Склад3||Склад3_о,W20,3850.0,12000.0,32.08,4012.0,162.0
Склад3||Склад3_о,W21,3546.0,12000.0,29.55,3546.0,0.0
Склад3||Склад3_о,W22,4644.0,12000.0,38.7,4644.0,0.0
Склад3||Склад3_о,W23,4202.0,12000.0,35.02,4202.0,0.0
Склад3||Склад3_о,W24,3165.0,12000.0,26.38,5126.0,1961.0
Склад3||Склад3_о,W25,3134.0,12000.0,26.12,3469.0,335.0
Склад3||Склад3_о,W26,4242.0,12000.0,35.35,4242.0,0.0
Склад3||Склад3_о,W27,2509.0,12000.0,20.91,2509.0,0.0
Склад3||Склад3_о,W28,2964.0,12000.0,24.7,2964.0,0.0
Склад3||Склад3_о,W29,2881.0,12000.0,24.01,2881.0,0.0
Склад3||Склад3_о,W30,3401.0,12000.0,28.34,3401.0,0.0
Склад3||Склад3_о,W31,3180.0,12000.0,26.5,3180.0,0.0
Склад3||Склад3_о,W32,3395.0,12000.0,28.29,3395.0,0.0
Склад3||Склад3_о,W33,3741.0,12000.0,31.18,3741.0,0.0
Склад3||Склад3_о,W34,2347.0,12000.0,19.56,2347.0,0.0
Склад3||Склад3_о,W35,3180.0,12000.0,26.5,3180.0,0.0
Склад3||Склад3_о,W36,2541.0,12000.0,21.18,2541.0,0.0
Склад3||Склад3_о,W37,3026.0,12000.0,25.22,3026.0,0.0
Склад3||Склад3_о,W38,2954.0,12000.0,24.62,2954.0,0.0
Склад3||Склад3_о,W39,1855.0,12000.0,15.46,1855.0,0.0
Склад3||Склад3_о,W40,2160.0,12000.0,18.0,2160.0,0.0
Склад3||Склад3_о,W41,2664.0,12000.0,22.2,2794.0,130.0
Склад3||Склад3_о,W42,3154.0,12000.0,26.28,3154.0,0.0
Склад3||Склад3_о,W43,3087.0,12000.0,25.72,3887.0,800.0
Склад3||Склад3_о,W44,2831.0,12000.0,23.59,2831.0,0.0
Склад3||Склад3_о,W45,3113.0,12000.0,25.94,3113.0,0.0
Склад3||Склад3_о,W46,3553.0,12000.0,29.61,3553.0,0.0
Склад3||Склад3_о,W47,2768.0,12000.0,23.07,2768.0,0.0
Склад3||Склад3_о,W48,4434.0,12000.0,36.95,4434.0,0.0
Склад3||Склад3_о,W49,3278.0,12000.0,27.32,3278.0,0.0
Склад3||Склад3_о,W50,3615.0,12000.0,30.12,3615.0,0.0
Склад3||Склад3_о,W51,5141.0,12000.0,42.84,5141.0,0.0
Склад3||Склад3_о,W52,2933.0,12000.0,24.44,2933.0,0.0
Склад3||Склад3_о,W53,117.0,12000.0,0.97,117.0,0.0
Склад4||Склад4_о,W1,0.0,11400.0,0.0,0.0,0.0
Склад4||Склад4_о,W2,1356.0,11400.0,11.89,1356.0,0.0
Склад4||Склад4_о,W3,2622.0,11400.0,23.0,2622.0,0.0
Склад4||Склад4_о,W4,2621.0,11400.0,22.99,2621.0,0.0
Склад4||Склад4_о,W5,1119.0,11400.0,9.82,1119.0,0.0
Склад4||Склад4_о,W6,1701.0,11400.0,14.92,1701.0,0.0
Склад4||Склад4_о,W7,1593.0,11400.0,13.97,1593.0,0.0
Склад4||Склад4_о,W8,2153.0,11400.0,18.89,2153.0,0.0
Склад4||Склад4_о,W9,1477.0,11400.0,12.96,1477.0,0.0
Склад4||Склад4_о,W10,1648.0,11400.0,14.46,1648.0,0.0
Склад4||Склад4_о,W11,1637.0,11400.0,14.36,1637.0,0.0
Склад4||Склад4_о,W12,2430.0,11400.0,21.32,2430.0,0.0
Склад4||Склад4_о,W13,2213.0,11400.0,19.41,2899.0,686.0
Склад4||Склад4_о,W14,0.0,11400.0,0.0,2968.0,2968.0
Склад4||Склад4_о,W15,2799.0,11400.0,24.55,2799.0,0.0
Склад4||Склад4_о,W16,2524.0,11400.0,22.14,2524.0,0.0
Склад4||Склад4_о,W17,90.0,11400.0,0.79,3284.0,3194.0
Склад4||Склад4_о,W18,1919.0,11400.0,16.83,1919.0,0.0
Склад4||Склад4_о,W19,0.0,11400.0,0.0,2864.0,2864.0
Склад4||Склад4_о,W20,944.0,11400.0,8.28,2085.0,1141.0
Склад4||Склад4_о,W21,2853.0,11400.0,25.03,2853.0,0.0
Склад4||Склад4_о,W22,94.0,11400.0,0.82,3176.0,3082.0
Склад4||Склад4_о,W23,305.0,11400.0,2.68,1583.0,1278.0
Склад4||Склад4_о,W24,557.0,11400.0,4.89,1932.0,1375.0
Склад4||Склад4_о,W25,0.0,11400.0,0.0,1486.0,1486.0
Склад4||Склад4_о,W26,1471.0,11400.0,12.9,1471.0,0.0
Склад4||Склад4_о,W27,0.0,11400.0,0.0,2229.0,2229.0
Склад4||Склад4_о,W28,0.0,11400.0,0.0,1647.0,1647.0
Склад4||Склад4_о,W29,340.0,11400.0,2.98,2275.0,1935.0
Склад4||Склад4_о,W30,0.0,11400.0,0.0,1437.0,1437.0
Склад4||Склад4_о,W31,676.0,11400.0,5.93,897.0,221.0
Склад4||Склад4_о,W32,62.0,11400.0,0.54,417.0,355.0
Склад4||Склад4_о,W33,674.0,11400.0,5.91,699.0,25.0
Склад4||Склад4_о,W34,341.0,11400.0,2.99,341.0,0.0
Склад4||Склад4_о,W35,668.0,11400.0,5.86,668.0,0.0
Склад4||Склад4_о,W36,736.0,11400.0,6.46,736.0,0.0
Склад4||Склад4_о,W37,1297.0,11400.0,11.38,1297.0,0.0
Склад4||Склад4_о,W38,1129.0,11400.0,9.9,1129.0,0.0
Склад4||Склад4_о,W39,0.0,11400.0,0.0,1148.0,1148.0
Склад4||Склад4_о,W40,904.0,11400.0,7.93,904.0,0.0
Склад4||Склад4_о,W41,0.0,11400.0,0.0,1135.0,1135.0
Склад4||Склад4_о,W42,1050.0,11400.0,9.21,1050.0,0.0
Склад4||Склад4_о,W43,0.0,11400.0,0.0,1224.0,1224.0
Склад4||Склад4_о,W44,792.0,11400.0,6.95,792.0,0.0
Склад4||Склад4_о,W45,984.0,11400.0,8.63,984.0,0.0
Склад4||Склад4_о,W46,1034.0,11400.0,9.07,1034.0,0.0
Склад4||Склад4_о,W47,1234.0,11400.0,10.82,1234.0,0.0
Склад4||Склад4_о,W48,1569.0,11400.0,13.76,1569.0,0.0
Склад4||Склад4_о,W49,955.0,11400.0,8.38,955.0,0.0
Склад4||Склад4_о,W50,525.0,11400.0,4.61,525.0,0.0
Склад4||Склад4_о,W51,919.0,11400.0,8.06,919.0,0.0
Склад4||Склад4_о,W52,244.0,11400.0,2.14,244.0,0.0
Склад4||Склад4_о,W53,0.0,11400.0,0.0,0.0,0.0
Склад5||Склад5_о,W1,0.0,9000.0,0.0,0.0,0.0
Склад5||Склад5_о,W2,267.0,9000.0,2.97,267.0,0.0
Склад5||Склад5_о,W3,2161.0,9000.0,24.01,2161.0,0.0
Склад5||Склад5_о,W4,2916.0,9000.0,32.4,2916.0,0.0
Склад5||Склад5_о,W5,3549.0,9000.0,39.43,3549.0,0.0
Склад5||Склад5_о,W6,3709.0,9000.0,41.21,3709.0,0.0
Склад5||Склад5_о,W7,2758.0,9000.0,30.64,2758.0,0.0
Склад5||Склад5_о,W8,4080.0,9000.0,45.33,4080.0,0.0
Склад5||Склад5_о,W9,2091.0,9000.0,23.23,2091.0,0.0
Склад5||Склад5_о,W10,2455.0,9000.0,27.28,2455.0,0.0
Склад5||Склад5_о,W11,2629.0,9000.0,29.21,2629.0,0.0
Склад5||Склад5_о,W12,1648.0,9000.0,18.31,1648.0,0.0
Склад5||Склад5_о,W13,1988.0,9000.0,22.09,1988.0,0.0
Склад5||Склад5_о,W14,1193.0,9000.0,13.26,2052.0,859.0
Склад5||Склад5_о,W15,2671.0,9000.0,29.68,2671.0,0.0
Склад5||Склад5_о,W16,3246.0,9000.0,36.07,3246.0,0.0
Склад5||Склад5_о,W17,3636.0,9000.0,40.4,3636.0,0.0
Склад5||Склад5_о,W18,2401.0,9000.0,26.68,2401.0,0.0
Склад5||Склад5_о,W19,1754.0,9000.0,19.49,2797.0,1043.0
Склад5||Склад5_о,W20,4108.0,9000.0,45.64,4108.0,0.0
Склад5||Склад5_о,W21,3005.0,9000.0,33.39,3005.0,0.0
Склад5||Склад5_о,W22,3634.0,9000.0,40.38,3634.0,0.0
Склад5||Склад5_о,W23,3558.0,9000.0,39.53,3558.0,0.0
Склад5||Склад5_о,W24,4315.0,9000.0,47.94,4315.0,0.0
Склад5||Склад5_о,W25,1257.0,9000.0,13.97,2734.0,1477.0
Склад5||Склад5_о,W26,4378.0,9000.0,48.64,4378.0,0.0
Склад5||Склад5_о,W27,1496.0,9000.0,16.62,3401.0,1905.0
Склад5||Склад5_о,W28,185.0,9000.0,2.06,3702.0,3517.0
Склад5||Склад5_о,W29,3828.0,9000.0,42.53,3828.0,0.0
Склад5||Склад5_о,W30,4316.0,9000.0,47.96,4874.0,558.0
Склад5||Склад5_о,W31,4180.0,9000.0,46.44,4180.0,0.0
Склад5||Склад5_о,W32,5096.0,9000.0,56.62,5096.0,0.0
Склад5||Склад5_о,W33,4822.0,9000.0,53.58,4822.0,0.0
Склад5||Склад5_о,W34,5545.0,9000.0,61.61,5545.0,0.0
Склад5||Склад5_о,W35,5525.0,9000.0,61.39,5525.0,0.0
Склад5||Склад5_о,W36,3145.0,9000.0,34.94,3145.0,0.0
Склад5||Склад5_о,W37,4187.0,9000.0,46.52,4187.0,0.0
Склад5||Склад5_о,W38,4285.0,9000.0,47.61,4285.0,0.0
Склад5||Склад5_о,W39,3248.0,9000.0,36.09,3605.0,357.0
Склад5||Склад5_о,W40,4332.0,9000.0,48.13,4332.0,0.0
Склад5||Склад5_о,W41,4589.0,9000.0,50.99,4784.0,195.0
Склад5||Склад5_о,W42,4411.0,9000.0,49.01,4411.0,0.0
Склад5||Склад5_о,W43,1826.0,9000.0,20.29,2825.0,999.0
Склад5||Склад5_о,W44,3428.0,9000.0,38.09,3428.0,0.0
Склад5||Склад5_о,W45,4489.0,9000.0,49.88,4489.0,0.0
Склад5||Склад5_о,W46,3164.0,9000.0,35.16,3164.0,0.0
Склад5||Склад5_о,W47,2944.0,9000.0,32.71,2944.0,0.0
Склад5||Склад5_о,W48,2815.0,9000.0,31.28,2815.0,0.0
Склад5||Склад5_о,W49,1852.0,9000.0,20.58,1852.0,0.0
Склад5||Склад5_о,W50,2042.0,9000.0,22.69,2042.0,0.0
Склад5||Склад5_о,W51,1724.0,9000.0,19.16,1724.0,0.0
Склад5||Склад5_о,W52,1726.0,9000.0,19.18,1726.0,0.0
Склад5||Склад5_о,W53,104.0,9000.0,1.16,104.0,0.0
Склад6||Склад6_о,W1,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W2,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W3,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W4,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W5,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W6,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W7,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W8,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W9,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W10,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W11,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W12,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W13,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W14,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W15,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W16,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W17,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W18,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W19,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W20,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W21,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W22,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W23,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W24,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W25,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W26,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W27,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W28,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W29,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W30,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W31,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W32,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W33,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W34,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W35,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W36,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W37,0.0,12500.0,0.0,0.0,0.0
Склад6||Склад6_о,W38,0.0,12500.0,0.0,0.0,0.0
