
"Склады отгрузки";Weeks;Cubes
;;вместимость
Склад5||Склад5_о;W22;5366
Склад5||Склад5_о;W23;5442
Склад5||Склад5_о;W24;4685
Склад5||Склад5_о;W25;7743
Склад5||Склад5_о;W26;4622
Склад5||Склад5_о;W27;7504
Склад5||Склад5_о;W28;8815
Склад5||Склад5_о;W29;5172
Склад5||Склад5_о;W30;4684
Склад5||Склад5_о;W31;4820
Склад5||Склад5_о;W32;3904
Склад5||Склад5_о;W33;4178
Склад5||Склад5_о;W34;3455
Склад5||Склад5_о;W35;3475
Склад5||Склад5_о;W36;5855
Склад5||Склад5_о;W37;4813
Склад5||Склад5_о;W38;4715
Склад5||Склад5_о;W39;6867
Склад5||Склад5_о;W40;4668
Склад5||Склад5_о;W41;4411
Склад5||Склад5_о;W42;4589
Склад5||Склад5_о;W43;7174
Склад5||Склад5_о;W44;5572
Склад5||Склад5_о;W45;4511
Склад5||Склад5_о;W46;5836
Склад5||Склад5_о;W47;6056
Склад5||Склад5_о;W48;6185
Склад5||Склад5_о;W49;7148
Склад5||Склад5_о;W50;6958
Склад5||Склад5_о;W51;7276
Склад5||Склад5_о;W52;7274
Склад5||Склад5_о;W53;8896
Склад6||Склад6_о;W1;12500
Склад6||Склад6_о;W2;12500
Склад6||Склад6_о;W3;12500
Склад6||Склад6_о;W4;12500
Склад6||Склад6_о;W5;12500
Склад6||Склад6_о;W6;12500
Склад6||Склад6_о;W7;12500
Склад6||Склад6_о;W8;12500
Склад6||Склад6_о;W9;12500
Склад6||Склад6_о;W10;12500
Склад6||Склад6_о;W11;12500
Склад6||Склад6_о;W12;12500
Склад6||Склад6_о;W13;12500
Склад6||Склад6_о;W14;12500
Склад6||Склад6_о;W15;12500
Склад6||Склад6_о;W16;12500
Склад6||Склад6_о;W17;12500
Склад6||Склад6_о;W18;12500
Склад6||Склад6_о;W19;12500
Склад6||Склад6_о;W20;12500
Склад6||Склад6_о;W21;12500
Склад6||Склад6_о;W22;12500
Склад6||Склад6_о;W23;12500
Склад6||Склад6_о;W24;12500
Склад6||Склад6_о;W25;12500
Склад6||Склад6_о;W26;12500
Склад6||Склад6_о;W27;12500
Склад6||Склад6_о;W28;12500
Склад6||Склад6_о;W29;12500
Склад6||Склад6_о;W30;12500
Склад6||Склад6_о;W31;12500
Склад6||Склад6_о;W32;12500
Склад6||Склад6_о;W33;12500
Склад6||Склад6_о;W34;12500
Склад6||Склад6_о;W35;12500
Склад6||Склад6_о;W36;12500
Склад6||Склад6_о;W37;12500
Склад6||Склад6_о;W38;12500
Склад6||Склад6_о;W39;12500
Склад6||Склад6_о;W40;12500
Склад6||Склад6_о;W41;12500
Склад6||Склад6_о;W42;12500
Склад6||Склад6_о;W43;12500
Склад6||Склад6_о;W44;12500
Склад6||Склад6_о;W45;12500
Склад6||Склад6_о;W46;12500
Склад6||Склад6_о;W47;12500
Склад6||Склад6_о;W48;12500
Склад6||Склад6_о;W49;11804
Склад6||Склад6_о;W50;12000
Склад6||Склад6_о;W51;11746
Склад6||Склад6_о;W52;11953
Склад6||Склад6_о;W53;12500
Склад7||Склад7_о;W1;4383
Склад7||Склад7_о;W2;4118
Склад7||Склад7_о;W3;0
Склад7||Склад7_о;W4;0
Склад7||Склад7_о;W5;0
Склад7||Склад7_о;W6;0
Склад7||Склад7_о;W7;0
Склад7||Склад7_о;W8;0
Склад7||Склад7_о;W9;0
Склад7||Склад7_о;W10;288
Склад7||Склад7_о;W11;492
Склад7||Склад7_о;W12;0
Склад7||Склад7_о;W13;0
Склад7||Склад7_о;W14;0
Склад7||Склад7_о;W15;862
Склад7||Склад7_о;W16;0
Склад7||Склад7_о;W17;0
Склад7||Склад7_о;W18;0
