
"Склады заводов";Продукция;Weeks;Cubes
;;;unplaced
Склад5||Склад5_п;Б5;W40;0
Склад5||Склад5_п;Б5;W41;0
Склад5||Склад5_п;Б5;W42;0
Склад5||Склад5_п;Б5;W43;0
Склад5||Склад5_п;Б5;W44;0
Склад5||Склад5_п;Б5;W45;0
Склад5||Склад5_п;Б5;W46;0
Склад5||Склад5_п;Б5;W47;0
Склад5||Склад5_п;Б5;W48;261
Склад5||Склад5_п;Б5;W49;0
Склад5||Склад5_п;Б5;W50;469
Склад5||Склад5_п;Б5;W51;0
Склад5||Склад5_п;Б5;W52;0
Склад5||Склад5_п;Б5;W53;858
Склад5||Склад5_п;Б6;W1;0
Склад5||Склад5_п;Б6;W2;591
Склад5||Склад5_п;Б6;W3;0
Склад5||Склад5_п;Б6;W4;0
Склад5||Склад5_п;Б6;W5;0
Склад5||Склад5_п;Б6;W6;0
Склад5||Склад5_п;Б6;W7;0
Склад5||Склад5_п;Б6;W8;0
Склад5||Склад5_п;Б6;W9;0
Склад5||Склад5_п;Б6;W10;0
Склад5||Склад5_п;Б6;W11;0
Склад5||Склад5_п;Б6;W12;0
Склад5||Склад5_п;Б6;W13;0
Склад5||Склад5_п;Б6;W14;0
Склад5||Склад5_п;Б6;W15;0
Склад5||Склад5_п;Б6;W16;0
Склад5||Склад5_п;Б6;W17;0
Склад5||Склад5_п;Б6;W18;0
Склад5||Склад5_п;Б6;W19;0
Склад5||Склад5_п;Б6;W20;0
Склад5||Склад5_п;Б6;W21;0
Склад5||Склад5_п;Б6;W22;0
Склад5||Склад5_п;Б6;W23;0
Склад5||Склад5_п;Б6;W24;0
Склад5||Склад5_п;Б6;W25;0
Склад5||Склад5_п;Б6;W26;0
Склад5||Склад5_п;Б6;W27;0
Склад5||Склад5_п;Б6;W28;0
Склад5||Склад5_п;Б6;W29;0
Склад5||Склад5_п;Б6;W30;0
Склад5||Склад5_п;Б6;W31;0
Склад5||Склад5_п;Б6;W32;0
Склад5||Склад5_п;Б6;W33;0
Склад5||Склад5_п;Б6;W34;0
Склад5||Склад5_п;Б6;W35;0
Склад5||Склад5_п;Б6;W36;0
Склад5||Склад5_п;Б6;W37;0
Склад5||Склад5_п;Б6;W38;0
Склад5||Склад5_п;Б6;W39;0
Склад5||Склад5_п;Б6;W40;0
Склад5||Склад5_п;Б6;W41;0
Склад5||Склад5_п;Б6;W42;0
Склад5||Склад5_п;Б6;W43;0
Склад5||Склад5_п;Б6;W44;0
Склад5||Склад5_п;Б6;W45;0
Склад5||Склад5_п;Б6;W46;0
Склад5||Склад5_п;Б6;W47;0
Склад5||Склад5_п;Б6;W48;0
Склад5||Склад5_п;Б6;W49;0
Склад5||Склад5_п;Б6;W50;0
Склад5||Склад5_п;Б6;W51;0
Склад5||Склад5_п;Б6;W52;0
Склад5||Склад5_п;Б6;W53;0
Склад5||Склад5_п;Б7;W1;0
Склад5||Склад5_п;Б7;W2;0
Склад5||Склад5_п;Б7;W3;0
Склад5||Склад5_п;Б7;W4;0
Склад5||Склад5_п;Б7;W5;0
Склад5||Склад5_п;Б7;W6;0
Склад5||Склад5_п;Б7;W7;0
Склад5||Склад5_п;Б7;W8;0
Склад5||Склад5_п;Б7;W9;0
Склад5||Склад5_п;Б7;W10;0
Склад5||Склад5_п;Б7;W11;0
Склад5||Склад5_п;Б7;W12;0
Склад5||Склад5_п;Б7;W13;0
Склад5||Склад5_п;Б7;W14;0
Склад5||Склад5_п;Б7;W15;0
Склад5||Склад5_п;Б7;W16;0
Склад5||Склад5_п;Б7;W17;0
Склад5||Склад5_п;Б7;W18;0
Склад5||Склад5_п;Б7;W19;0
Склад5||Склад5_п;Б7;W20;0
Склад5||Склад5_п;Б7;W21;0
Склад5||Склад5_п;Б7;W22;0
Склад5||Склад5_п;Б7;W23;0
Склад5||Склад5_п;Б7;W24;0
Склад5||Склад5_п;Б7;W25;0
Склад5||Склад5_п;Б7;W26;0
Склад5||Склад5_п;Б7;W27;0
Склад5||Склад5_п;Б7;W28;0
Склад5||Склад5_п;Б7;W29;0
Склад5||Склад5_п;Б7;W30;0
Склад5||Склад5_п;Б7;W31;0
Склад5||Склад5_п;Б7;W32;0
Склад5||Склад5_п;Б7;W33;0
Склад5||Склад5_п;Б7;W34;0
Склад5||Склад5_п;Б7;W35;0
Склад5||Склад5_п;Б7;W36;0
Склад5||Склад5_п;Б7;W37;0
Склад5||Склад5_п;Б7;W38;0
Склад5||Склад5_п;Б7;W39;0
Склад5||Склад5_п;Б7;W40;0
Склад5||Склад5_п;Б7;W41;0
Склад5||Склад5_п;Б7;W42;0
Склад5||Склад5_п;Б7;W43;0
Склад5||Склад5_п;Б7;W44;0
Склад5||Склад5_п;Б7;W45;0
Склад5||Склад5_п;Б7;W46;0
Склад5||Склад5_п;Б7;W47;0
Склад5||Склад5_п;Б7;W48;0
Склад5||Склад5_п;Б7;W49;0
Склад5||Склад5_п;Б7;W50;0
Склад5||Склад5_п;Б7;W51;0
Склад5||Склад5_п;Б7;W52;0
Склад5||Склад5_п;Б7;W53;0
Склад5||Склад5_п;К1;W1;0
Склад5||Склад5_п;К1;W2;0
Склад5||Склад5_п;К1;W3;0
Склад5||Склад5_п;К1;W4;0
Склад5||Склад5_п;К1;W5;0
Склад5||Склад5_п;К1;W6;0
Склад5||Склад5_п;К1;W7;0
Склад5||Склад5_п;К1;W8;0
Склад5||Склад5_п;К1;W9;0
Склад5||Склад5_п;К1;W10;0
Склад5||Склад5_п;К1;W11;0
Склад5||Склад5_п;К1;W12;0
Склад5||Склад5_п;К1;W13;0
Склад5||Склад5_п;К1;W14;0
Склад5||Склад5_п;К1;W15;0
Склад5||Склад5_п;К1;W16;0
Склад5||Склад5_п;К1;W17;0
Склад5||Склад5_п;К1;W18;0
Склад5||Склад5_п;К1;W19;0
Склад5||Склад5_п;К1;W20;0
Склад5||Склад5_п;К1;W21;0
Склад5||Склад5_п;К1;W22;0
Склад5||Склад5_п;К1;W23;0
Склад5||Склад5_п;К1;W24;0
Склад5||Склад5_п;К1;W25;0
Склад5||Склад5_п;К1;W26;0
Склад5||Склад5_п;К1;W27;0
Склад5||Склад5_п;К1;W28;0
Склад5||Склад5_п;К1;W29;0
Склад5||Склад5_п;К1;W30;0
Склад5||Склад5_п;К1;W31;0
Склад5||Склад5_п;К1;W32;0
