
"Склады отгрузки";Weeks;Cubes
;;вместимость
Склад9||Склад9_о;W32;13000
Склад9||Склад9_о;W33;13000
Склад9||Склад9_о;W34;13000
Склад9||Склад9_о;W35;13000
Склад9||Склад9_о;W36;13000
Склад9||Склад9_о;W37;13000
Склад9||Склад9_о;W38;13000
Склад9||Склад9_о;W39;13000
Склад9||Склад9_о;W40;13000
Склад9||Склад9_о;W41;13000
Склад9||Склад9_о;W42;13000
Склад9||Склад9_о;W43;13000
Склад9||Склад9_о;W44;13000
Склад9||Склад9_о;W45;13000
Склад9||Склад9_о;W46;13000
Склад9||Склад9_о;W47;13000
Склад9||Склад9_о;W48;13000
Склад9||Склад9_о;W49;13000
Склад9||Склад9_о;W50;13000
Склад9||Склад9_о;W51;13000
Склад9||Склад9_о;W52;13000
Склад9||Склад9_о;W53;13000
Склад10||Склад10_о;W1;14500
Склад10||Склад10_о;W2;14500
Склад10||Склад10_о;W3;14500
Склад10||Склад10_о;W4;14500
Склад10||Склад10_о;W5;14500
Склад10||Склад10_о;W6;14500
Склад10||Склад10_о;W7;14500
Склад10||Склад10_о;W8;14500
Склад10||Склад10_о;W9;14500
Склад10||Склад10_о;W10;14500
Склад10||Склад10_о;W11;14500
Склад10||Склад10_о;W12;14500
Склад10||Склад10_о;W13;14500
Склад10||Склад10_о;W14;14500
Склад10||Склад10_о;W15;14500
Склад10||Склад10_о;W16;14500
Склад10||Склад10_о;W17;14500
Склад10||Склад10_о;W18;14500
Склад10||Склад10_о;W19;14500
Склад10||Склад10_о;W20;14500
Склад10||Склад10_о;W21;14500
Склад10||Склад10_о;W22;14500
Склад10||Склад10_о;W23;14500
Склад10||Склад10_о;W24;14500
Склад10||Склад10_о;W25;14500
Склад10||Склад10_о;W26;14500
Склад10||Склад10_о;W27;14500
Склад10||Склад10_о;W28;14500
Склад10||Склад10_о;W29;14500
Склад10||Склад10_о;W30;14500
Склад10||Склад10_о;W31;14500
Склад10||Склад10_о;W32;14500
Склад10||Склад10_о;W33;14500
Склад10||Склад10_о;W34;14500
Склад10||Склад10_о;W35;14500
Склад10||Склад10_о;W36;14500
Склад10||Склад10_о;W37;14500
Склад10||Склад10_о;W38;14500
Склад10||Склад10_о;W39;14500
Склад10||Склад10_о;W40;14500
Склад10||Склад10_о;W41;14500
Склад10||Склад10_о;W42;14500
Склад10||Склад10_о;W43;14500
Склад10||Склад10_о;W44;14500
Склад10||Склад10_о;W45;14500
Склад10||Склад10_о;W46;14500
Склад10||Склад10_о;W47;14500
Склад10||Склад10_о;W48;14500
Склад10||Склад10_о;W49;14500
Склад10||Склад10_о;W50;14500
Склад10||Склад10_о;W51;14500
Склад10||Склад10_о;W52;14500
Склад10||Склад10_о;W53;14500
Склад11||Склад11_о;W1;5200
Склад11||Склад11_о;W2;5200
Склад11||Склад11_о;W3;5200
Склад11||Склад11_о;W4;5200
Склад11||Склад11_о;W5;5200
Склад11||Склад11_о;W6;5200
Склад11||Склад11_о;W7;5200
Склад11||Склад11_о;W8;5200
Склад11||Склад11_о;W9;5200
Склад11||Склад11_о;W10;5200
Склад11||Склад11_о;W11;5200
Склад11||Склад11_о;W12;5200
Склад11||Склад11_о;W13;5200
Склад11||Склад11_о;W14;5200
Склад11||Склад11_о;W15;5200
Склад11||Склад11_о;W16;5200
Склад11||Склад11_о;W17;5200
Склад11||Склад11_о;W18;5200
Склад11||Склад11_о;W19;5200
Склад11||Склад11_о;W20;5200
Склад11||Склад11_о;W21;5200
Склад11||Склад11_о;W22;5200
Склад11||Склад11_о;W23;5200
Склад11||Склад11_о;W24;5200
Склад11||Склад11_о;W25;5200
Склад11||Склад11_о;W26;5200
Склад11||Склад11_о;W27;5200
Склад11||Склад11_о;W28;5200
Склад11||Склад11_о;W29;5200
Склад11||Склад11_о;W30;5200
Склад11||Склад11_о;W31;5200
Склад11||Склад11_о;W32;5200
Склад11||Склад11_о;W33;5200
Склад11||Склад11_о;W34;5200
Склад11||Склад11_о;W35;5200
Склад11||Склад11_о;W36;5200
Склад11||Склад11_о;W37;5200
Склад11||Склад11_о;W38;5200
Склад11||Склад11_о;W39;5200
Склад11||Склад11_о;W40;5200
Склад11||Склад11_о;W41;5200
Склад11||Склад11_о;W42;5200
Склад11||Склад11_о;W43;5200
Склад11||Склад11_о;W44;5200
Склад11||Склад11_о;W45;5200
Склад11||Склад11_о;W46;5200
Склад11||Склад11_о;W47;5200
Склад11||Склад11_о;W48;5200
Склад11||Склад11_о;W49;5200
Склад11||Склад11_о;W50;5200
Склад11||Склад11_о;W51;5200
Склад11||Склад11_о;W52;5200
Склад11||Склад11_о;W53;5200
Склад12||Склад12_о;W1;36000
Склад12||Склад12_о;W2;36000
Склад12||Склад12_о;W3;36000
Склад12||Склад12_о;W4;36000
Склад12||Склад12_о;W5;36000
Склад12||Склад12_о;W6;36000
Склад12||Склад12_о;W7;36000
Склад12||Склад12_о;W8;36000
Склад12||Склад12_о;W9;36000
Склад12||Склад12_о;W10;36000
Склад12||Склад12_о;W11;36000
Склад12||Склад12_о;W12;36000
Склад12||Склад12_о;W13;36000
Склад12||Склад12_о;W14;36000
Склад12||Склад12_о;W15;36000
Склад12||Склад12_о;W16;36000
Склад12||Склад12_о;W17;36000
Склад12||Склад12_о;W18;36000
Склад12||Склад12_о;W19;36000
Склад12||Склад12_о;W20;36000
Склад12||Склад12_о;W21;36000
Склад12||Склад12_о;W22;36000
Склад12||Склад12_о;W23;36000
Склад12||Склад12_о;W24;36000
Склад12||Склад12_о;W25;36000
Склад12||Склад12_о;W26;36000
Склад12||Склад12_о;W27;36000
Склад12||Склад12_о;W28;36000
Склад12||Склад12_о;W29;36000
Склад12||Склад12_о;W30;36000
Склад12||Склад12_о;W31;36000
Склад12||Склад12_о;W32;36000
Склад12||Склад12_о;W33;36000
Склад12||Склад12_о;W34;36000
Склад12||Склад12_о;W35;36000
Склад12||Склад12_о;W36;36000
Склад12||Склад12_о;W37;36000
Склад12||Склад12_о;W38;36000
Склад12||Склад12_о;W39;36000
Склад12||Склад12_о;W40;36000
Склад12||Склад12_о;W41;36000
Склад12||Склад12_о;W42;36000
Склад12||Склад12_о;W43;36000
Склад12||Склад12_о;W44;36000
Склад12||Склад12_о;W45;36000
Склад12||Склад12_о;W46;36000
Склад12||Склад12_о;W47;36000
Склад12||Склад12_о;W48;36000
Склад12||Склад12_о;W49;36000
Склад12||Склад12_о;W50;36000
Склад12||Склад12_о;W51;36000
Склад12||Склад12_о;W52;36000
Склад12||Склад12_о;W53;36000
